volatile acidity,free sulfur dioxide,chlorides,density,pH,quality white
0.32 g(acetic acid)/dm^3,37.0 mg/dm^3,0.029 g(sodium chloride)/dm^3,0.98998 g/cm^3,3.25 ,True
0.28 g(acetic acid)/dm^3,36.0 mg/dm^3,0.012 g(sodium chloride)/dm^3,0.99064 g/cm^3,3.26 ,False
0.31 g(acetic acid)/dm^3,21.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.99304 g/cm^3,3.13 ,False
0.575 g(acetic acid)/dm^3,12.0 mg/dm^3,0.077 g(sodium chloride)/dm^3,0.9967 g/cm^3,3.29 ,False
0.58 g(acetic acid)/dm^3,9.0 mg/dm^3,0.075 g(sodium chloride)/dm^3,0.99779 g/cm^3,3.23 ,False
0.31 g(acetic acid)/dm^3,47.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.9964 g/cm^3,3.26 ,False
0.61 g(acetic acid)/dm^3,6.0 mg/dm^3,0.083 g(sodium chloride)/dm^3,0.9963 g/cm^3,3.29 ,False
0.19 g(acetic acid)/dm^3,32.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.9918 g/cm^3,3.16 ,False
0.35 g(acetic acid)/dm^3,20.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.99712 g/cm^3,3.47 ,True
0.26 g(acetic acid)/dm^3,33.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.9902 g/cm^3,3.16 ,True
0.2 g(acetic acid)/dm^3,8.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,0.99767 g/cm^3,3.19 ,True
0.23 g(acetic acid)/dm^3,35.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.9999 g/cm^3,3.22 ,False
0.39 g(acetic acid)/dm^3,29.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.99414 g/cm^3,3.07 ,True
0.29 g(acetic acid)/dm^3,33.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.99612 g/cm^3,3.11 ,True
0.45 g(acetic acid)/dm^3,47.0 mg/dm^3,0.099 g(sodium chloride)/dm^3,0.99582 g/cm^3,3.21 ,False
0.28 g(acetic acid)/dm^3,16.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.9948 g/cm^3,3.05 ,False
0.855 g(acetic acid)/dm^3,29.0 mg/dm^3,0.064 g(sodium chloride)/dm^3,0.99472 g/cm^3,3.3 ,False
0.23 g(acetic acid)/dm^3,56.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.9958 g/cm^3,3.22 ,True
0.16 g(acetic acid)/dm^3,40.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.98958 g/cm^3,3.12 ,True
0.675 g(acetic acid)/dm^3,11.0 mg/dm^3,0.084 g(sodium chloride)/dm^3,0.9976 g/cm^3,3.31 ,False
0.275 g(acetic acid)/dm^3,19.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.992 g/cm^3,3.01 ,False
0.33 g(acetic acid)/dm^3,34.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,0.99226 g/cm^3,3.06 ,True
0.36 g(acetic acid)/dm^3,10.0 mg/dm^3,0.122 g(sodium chloride)/dm^3,0.998 g/cm^3,3.23 ,False
0.16 g(acetic acid)/dm^3,50.0 mg/dm^3,0.057 g(sodium chloride)/dm^3,0.9978 g/cm^3,3.39 ,True
0.16 g(acetic acid)/dm^3,20.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.9933 g/cm^3,3.61 ,True
0.14 g(acetic acid)/dm^3,53.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.9966 g/cm^3,3.25 ,False
0.18 g(acetic acid)/dm^3,53.0 mg/dm^3,0.054 g(sodium chloride)/dm^3,0.99287 g/cm^3,3.1 ,True
0.21 g(acetic acid)/dm^3,61.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.99523 g/cm^3,3.02 ,True
0.35 g(acetic acid)/dm^3,18.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.992 g/cm^3,3.13 ,False
0.65 g(acetic acid)/dm^3,17.0 mg/dm^3,0.078 g(sodium chloride)/dm^3,0.9963 g/cm^3,3.34 ,False
0.595 g(acetic acid)/dm^3,26.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.9932 g/cm^3,3.36 ,False
0.26 g(acetic acid)/dm^3,6.0 mg/dm^3,0.066 g(sodium chloride)/dm^3,0.99724 g/cm^3,3.33 ,False
0.4 g(acetic acid)/dm^3,38.0 mg/dm^3,0.085 g(sodium chloride)/dm^3,0.9978 g/cm^3,3.22 ,False
0.57 g(acetic acid)/dm^3,12.0 mg/dm^3,0.104 g(sodium chloride)/dm^3,0.9963 g/cm^3,3.04 ,False
0.22 g(acetic acid)/dm^3,49.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,0.9998 g/cm^3,3.37 ,True
0.2 g(acetic acid)/dm^3,51.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,0.9939 g/cm^3,3.22 ,False
0.21 g(acetic acid)/dm^3,36.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,0.9914 g/cm^3,3.32 ,True
0.29 g(acetic acid)/dm^3,24.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,0.99053 g/cm^3,3.27 ,True
0.4 g(acetic acid)/dm^3,19.0 mg/dm^3,0.099 g(sodium chloride)/dm^3,0.99783 g/cm^3,3.1 ,False
0.225 g(acetic acid)/dm^3,29.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,0.989 g/cm^3,3.57 ,True
0.52 g(acetic acid)/dm^3,9.0 mg/dm^3,0.07 g(sodium chloride)/dm^3,0.9978 g/cm^3,3.24 ,False
0.24 g(acetic acid)/dm^3,35.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,0.99676 g/cm^3,3.1 ,False
0.715 g(acetic acid)/dm^3,21.0 mg/dm^3,0.071 g(sodium chloride)/dm^3,0.99632 g/cm^3,3.29 ,False
0.615 g(acetic acid)/dm^3,18.0 mg/dm^3,0.087 g(sodium chloride)/dm^3,1.0001 g/cm^3,3.31 ,False
0.635 g(acetic acid)/dm^3,19.0 mg/dm^3,0.403 g(sodium chloride)/dm^3,0.99632 g/cm^3,3.02 ,False
0.16 g(acetic acid)/dm^3,18.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,,3.23 ,True
0.32 g(acetic acid)/dm^3,71.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.9959 g/cm^3,3.14 ,False
0.31 g(acetic acid)/dm^3,29.0 mg/dm^3,0.069 g(sodium chloride)/dm^3,0.99382 g/cm^3,3.11 ,False
0.23 g(acetic acid)/dm^3,37.0 mg/dm^3,0.039 g(sodium chloride)/dm^3,0.9927 g/cm^3,3.23 ,True
0.28 g(acetic acid)/dm^3,51.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.9978 g/cm^3,3.22 ,True
0.2 g(acetic acid)/dm^3,22.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,0.9935 g/cm^3,3.09 ,False
0.19 g(acetic acid)/dm^3,11.0 mg/dm^3,0.027 g(sodium chloride)/dm^3,0.98964 g/cm^3,3.46 ,True
0.735 g(acetic acid)/dm^3,68.0 mg/dm^3,0.122 g(sodium chloride)/dm^3,0.9994 g/cm^3,3.47 ,False
0.3 g(acetic acid)/dm^3,29.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.99065 g/cm^3,3.31 ,True
0.58 g(acetic acid)/dm^3,15.0 mg/dm^3,0.074 g(sodium chloride)/dm^3,0.9968 g/cm^3,3.46 ,False
0.22 g(acetic acid)/dm^3,47.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.98862 g/cm^3,3.22 ,True
0.29 g(acetic acid)/dm^3,34.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,0.99058 g/cm^3,3.26 ,True
0.31 g(acetic acid)/dm^3,23.0 mg/dm^3,0.074 g(sodium chloride)/dm^3,0.99677 g/cm^3,3.39 ,False
0.44 g(acetic acid)/dm^3,34.0 mg/dm^3,0.145 g(sodium chloride)/dm^3,0.99832 g/cm^3,3.38 ,False
0.13 g(acetic acid)/dm^3,43.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.9955 g/cm^3,3.43 ,False
0.3 g(acetic acid)/dm^3,33.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,0.991 g/cm^3,3.29 ,True
0.23 g(acetic acid)/dm^3,37.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.9978 g/cm^3,2.99 ,False
0.44 g(acetic acid)/dm^3,52.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.9975 g/cm^3,3.12 ,True
0.23 g(acetic acid)/dm^3,16.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,0.9906 g/cm^3,3.28 ,True
0.27 g(acetic acid)/dm^3,31.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,0.9916 g/cm^3,3.1 ,True
0.6 g(acetic acid)/dm^3,9.0 mg/dm^3,0.118 g(sodium chloride)/dm^3,0.99616 g/cm^3,3.15 ,False
1.33 g(acetic acid)/dm^3,3.0 mg/dm^3,0.081 g(sodium chloride)/dm^3,0.9964 g/cm^3,3.53 ,False
0.415 g(acetic acid)/dm^3,17.0 mg/dm^3,0.085 g(sodium chloride)/dm^3,1.0014 g/cm^3,3.06 ,False
0.44 g(acetic acid)/dm^3,68.0 mg/dm^3,0.056 g(sodium chloride)/dm^3,0.99718 g/cm^3,3.05 ,False
0.66 g(acetic acid)/dm^3,6.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,0.99318 g/cm^3,3.35 ,False
1.04 g(acetic acid)/dm^3,19.0 mg/dm^3,0.067 g(sodium chloride)/dm^3,0.99648 g/cm^3,3.52 ,False
0.37 g(acetic acid)/dm^3,4.0 mg/dm^3,0.064 g(sodium chloride)/dm^3,0.99576 g/cm^3,3.3 ,False
0.27 g(acetic acid)/dm^3,49.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.9974 g/cm^3,3.04 ,True
0.52 g(acetic acid)/dm^3,10.0 mg/dm^3,0.081 g(sodium chloride)/dm^3,0.99685 g/cm^3,3.46 ,False
0.26 g(acetic acid)/dm^3,64.0 mg/dm^3,0.171 g(sodium chloride)/dm^3,0.99562 g/cm^3,3.19 ,True
0.39 g(acetic acid)/dm^3,34.0 mg/dm^3,0.157 g(sodium chloride)/dm^3,0.99449 g/cm^3,3.11 ,True
0.43 g(acetic acid)/dm^3,22.0 mg/dm^3,0.169 g(sodium chloride)/dm^3,0.99776 g/cm^3,3.02 ,False
0.24 g(acetic acid)/dm^3,67.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.99596 g/cm^3,3.24 ,False
0.655 g(acetic acid)/dm^3,28.0 mg/dm^3,0.071 g(sodium chloride)/dm^3,0.9971 g/cm^3,2.96 ,True
0.44 g(acetic acid)/dm^3,41.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.9948 g/cm^3,3.12 ,True
0.18 g(acetic acid)/dm^3,26.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.994 g/cm^3,3.52 ,True
0.69 g(acetic acid)/dm^3,21.0 mg/dm^3,0.124 g(sodium chloride)/dm^3,0.9997 g/cm^3,3.46 ,False
0.13 g(acetic acid)/dm^3,14.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.9925 g/cm^3,3.32 ,True
0.295 g(acetic acid)/dm^3,18.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.99378 g/cm^3,3.21 ,False
0.43 g(acetic acid)/dm^3,54.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,0.9974 g/cm^3,3.11 ,False
0.28 g(acetic acid)/dm^3,48.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,1.001 g/cm^3,2.93 ,False
0.24 g(acetic acid)/dm^3,48.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.992 g/cm^3,3.25 ,True
0.57 g(acetic acid)/dm^3,22.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.9917 g/cm^3,3.29 ,True
0.26 g(acetic acid)/dm^3,52.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.99541 g/cm^3,3.16 ,True
0.38 g(acetic acid)/dm^3,5.0 mg/dm^3,0.106 g(sodium chloride)/dm^3,0.99605 g/cm^3,3.36 ,False
0.63 g(acetic acid)/dm^3,14.0 mg/dm^3,0.097 g(sodium chloride)/dm^3,0.99675 g/cm^3,3.37 ,False
0.23 g(acetic acid)/dm^3,21.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.99509 g/cm^3,3.22 ,True
0.57 g(acetic acid)/dm^3,26.0 mg/dm^3,0.069 g(sodium chloride)/dm^3,0.99625 g/cm^3,3.29 ,False
0.15 g(acetic acid)/dm^3,21.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.9929 g/cm^3,3.19 ,False
0.4 g(acetic acid)/dm^3,10.0 mg/dm^3,0.087 g(sodium chloride)/dm^3,0.9991 g/cm^3,3.38 ,False
0.22 g(acetic acid)/dm^3,24.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.99556 g/cm^3,3.29 ,True
0.42 g(acetic acid)/dm^3,31.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,0.9911 g/cm^3,3.0 ,True
0.24 g(acetic acid)/dm^3,19.0 mg/dm^3,0.06 g(sodium chloride)/dm^3,0.994 g/cm^3,3.27 ,False
0.25 g(acetic acid)/dm^3,52.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,0.9956 g/cm^3,3.21 ,True
0.24 g(acetic acid)/dm^3,41.0 mg/dm^3,0.05 g(sodium chloride)/dm^3,0.9988 g/cm^3,3.37 ,False
0.25 g(acetic acid)/dm^3,19.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.99338 g/cm^3,3.38 ,True
0.35 g(acetic acid)/dm^3,55.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.9993 g/cm^3,3.07 ,True
0.3 g(acetic acid)/dm^3,10.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.9912 g/cm^3,3.09 ,True
0.49 g(acetic acid)/dm^3,20.0 mg/dm^3,0.11 g(sodium chloride)/dm^3,0.9972 g/cm^3,2.93 ,False
0.59 g(acetic acid)/dm^3,61.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,1.0 g/cm^3,2.95 ,False
0.28 g(acetic acid)/dm^3,38.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.998 g/cm^3,3.3 ,True
0.27 g(acetic acid)/dm^3,61.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.99394 g/cm^3,3.45 ,True
0.16 g(acetic acid)/dm^3,34.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.99047 g/cm^3,2.88 ,True
0.63 g(acetic acid)/dm^3,66.0 mg/dm^3,0.235 g(sodium chloride)/dm^3,0.99787 g/cm^3,3.22 ,False
0.2 g(acetic acid)/dm^3,19.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.9931 g/cm^3,3.46 ,False
0.28 g(acetic acid)/dm^3,60.0 mg/dm^3,0.043 g(sodium chloride)/dm^3,0.99556 g/cm^3,3.16 ,True
0.17 g(acetic acid)/dm^3,35.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,0.9904 g/cm^3,3.16 ,True
0.3 g(acetic acid)/dm^3,31.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,0.9889 g/cm^3,2.97 ,True
0.58 g(acetic acid)/dm^3,30.0 mg/dm^3,0.057 g(sodium chloride)/dm^3,0.9949 g/cm^3,3.24 ,False
0.24 g(acetic acid)/dm^3,43.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.9935 g/cm^3,3.2 ,True
0.34 g(acetic acid)/dm^3,12.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.99034 g/cm^3,3.02 ,True
0.27 g(acetic acid)/dm^3,69.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.99705 g/cm^3,3.16 ,True
0.29 g(acetic acid)/dm^3,41.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.9922 g/cm^3,3.26 ,True
0.3 g(acetic acid)/dm^3,16.0 mg/dm^3,0.051 g(sodium chloride)/dm^3,0.9941 g/cm^3,3.32 ,False
0.21 g(acetic acid)/dm^3,35.0 mg/dm^3,0.026 g(sodium chloride)/dm^3,0.99183 g/cm^3,3.37 ,True
0.17 g(acetic acid)/dm^3,34.0 mg/dm^3,0.041 g(sodium chloride)/dm^3,0.99092 g/cm^3,3.06 ,True
0.21 g(acetic acid)/dm^3,37.0 mg/dm^3,0.045 g(sodium chloride)/dm^3,0.9954 g/cm^3,3.25 ,True
0.29 g(acetic acid)/dm^3,38.0 mg/dm^3,0.036 g(sodium chloride)/dm^3,0.9906 g/cm^3,3.16 ,True
0.67 g(acetic acid)/dm^3,8.0 mg/dm^3,0.08 g(sodium chloride)/dm^3,0.99845 g/cm^3,3.68 ,False
0.24 g(acetic acid)/dm^3,39.0 mg/dm^3,0.046 g(sodium chloride)/dm^3,0.9998 g/cm^3,3.32 ,False
0.21 g(acetic acid)/dm^3,53.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.9972 g/cm^3,3.17 ,True
0.32 g(acetic acid)/dm^3,31.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.9957 g/cm^3,3.23 ,True
0.27 g(acetic acid)/dm^3,31.0 mg/dm^3,0.035 g(sodium chloride)/dm^3,0.9916 g/cm^3,3.1 ,True
0.46 g(acetic acid)/dm^3,10.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.99537 g/cm^3,3.35 ,False
0.28 g(acetic acid)/dm^3,44.0 mg/dm^3,0.04 g(sodium chloride)/dm^3,0.9948 g/cm^3,3.19 ,True
0.35 g(acetic acid)/dm^3,32.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.98942 g/cm^3,3.11 ,True
0.52 g(acetic acid)/dm^3,10.0 mg/dm^3,0.081 g(sodium chloride)/dm^3,0.99685 g/cm^3,3.46 ,False
0.3 g(acetic acid)/dm^3,14.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.994 g/cm^3,3.3 ,True
0.15 g(acetic acid)/dm^3,33.0 mg/dm^3,0.034 g(sodium chloride)/dm^3,0.9953 g/cm^3,3.37 ,True
0.29 g(acetic acid)/dm^3,4.0 mg/dm^3,0.032 g(sodium chloride)/dm^3,0.9908 g/cm^3,2.91 ,False
0.17 g(acetic acid)/dm^3,49.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,0.9958 g/cm^3,3.35 ,True
0.54 g(acetic acid)/dm^3,15.0 mg/dm^3,0.076 g(sodium chloride)/dm^3,0.9973 g/cm^3,3.61 ,False
0.44 g(acetic acid)/dm^3,27.0 mg/dm^3,0.033 g(sodium chloride)/dm^3,0.992 g/cm^3,3.16 ,True
0.4 g(acetic acid)/dm^3,32.0 mg/dm^3,0.059 g(sodium chloride)/dm^3,0.9955 g/cm^3,3.04 ,True
0.16 g(acetic acid)/dm^3,18.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,0.9917 g/cm^3,3.23 ,True
0.885 g(acetic acid)/dm^3,4.0 mg/dm^3,0.058 g(sodium chloride)/dm^3,0.9972 g/cm^3,3.36 ,False
0.23 g(acetic acid)/dm^3,56.0 mg/dm^3,0.073 g(sodium chloride)/dm^3,0.9984 g/cm^3,3.06 ,True
0.26 g(acetic acid)/dm^3,41.0 mg/dm^3,0.049 g(sodium chloride)/dm^3,0.993 g/cm^3,3.47 ,True
0.37 g(acetic acid)/dm^3,49.0 mg/dm^3,0.031 g(sodium chloride)/dm^3,0.99558 g/cm^3,3.22 ,False
0.29 g(acetic acid)/dm^3,35.0 mg/dm^3,0.042 g(sodium chloride)/dm^3,0.9937 g/cm^3,3.45 ,True
0.3 g(acetic acid)/dm^3,60.0 mg/dm^3,0.17 g(sodium chloride)/dm^3,0.9946 g/cm^3,3.18 ,False
0.33 g(acetic acid)/dm^3,57.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.99884 g/cm^3,3.26 ,True
0.52 g(acetic acid)/dm^3,19.0 mg/dm^3,0.078 g(sodium chloride)/dm^3,0.99612 g/cm^3,3.3 ,False
0.3 g(acetic acid)/dm^3,33.0 mg/dm^3,0.048 g(sodium chloride)/dm^3,0.98956 g/cm^3,3.22 ,True
0.48 g(acetic acid)/dm^3,14.0 mg/dm^3,0.415 g(sodium chloride)/dm^3,0.99656 g/cm^3,3.09 ,False
0.22 g(acetic acid)/dm^3,50.0 mg/dm^3,0.055 g(sodium chloride)/dm^3,0.9984 g/cm^3,3.44 ,False
0.31 g(acetic acid)/dm^3,12.0 mg/dm^3,0.037 g(sodium chloride)/dm^3,0.9919 g/cm^3,3.32 ,True
0.55 g(acetic acid)/dm^3,21.0 mg/dm^3,0.074 g(sodium chloride)/dm^3,0.9974 g/cm^3,3.25 ,False
0.19 g(acetic acid)/dm^3,48.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.994 g/cm^3,3.18 ,True
0.36 g(acetic acid)/dm^3,16.0 mg/dm^3,0.03 g(sodium chloride)/dm^3,0.9902 g/cm^3,3.1 ,True
0.34 g(acetic acid)/dm^3,44.0 mg/dm^3,0.047 g(sodium chloride)/dm^3,0.9987 g/cm^3,3.04 ,False
0.25 g(acetic acid)/dm^3,59.0 mg/dm^3,0.038 g(sodium chloride)/dm^3,0.9955 g/cm^3,3.03 ,False
0.31 g(acetic acid)/dm^3,34.0 mg/dm^3,0.052 g(sodium chloride)/dm^3,0.99429 g/cm^3,3.16 ,False
0.55 g(acetic acid)/dm^3,39.0 mg/dm^3,0.062 g(sodium chloride)/dm^3,0.99512 g/cm^3,3.52 ,False
0.39 g(acetic acid)/dm^3,21.0 mg/dm^3,0.095 g(sodium chloride)/dm^3,1.0001 g/cm^3,3.13 ,False
0.49 g(acetic acid)/dm^3,28.0 mg/dm^3,0.103 g(sodium chloride)/dm^3,1.0008 g/cm^3,3.16 ,False
0.78 g(acetic acid)/dm^3,6.0 mg/dm^3,0.077 g(sodium chloride)/dm^3,0.9988 g/cm^3,3.26 ,False
0.5 g(acetic acid)/dm^3,18.0 mg/dm^3,0.096 g(sodium chloride)/dm^3,0.99642 g/cm^3,3.11 ,False
0.29 g(acetic acid)/dm^3,48.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.9974 g/cm^3,3.09 ,False
0.27 g(acetic acid)/dm^3,20.0 mg/dm^3,0.044 g(sodium chloride)/dm^3,0.9929 g/cm^3,3.28 ,False
0.28 g(acetic acid)/dm^3,36.0 mg/dm^3,0.053 g(sodium chloride)/dm^3,0.9924 g/cm^3,3.28 ,False
